href,language_num,sex,speakerId,birth_place,native_language,other_languages,age_sex,age_of_english_onset,english_learning_method,english_residence,length_of_english_residence,age
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2365,mandarin79,female,[u'2365'],"[u'johor', u'bahru,', u'malaysia']",mandarin,"[u'malay', u'hokkien', u'cantonese', u'korean', u'japanese', u'']","19,",2.0,academic,[u'australia'],0.1,19
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2413,mandarin80,male,[u'2413'],"[u""xi'an,"", u'shanxi,', u'china']",mandarin,[u'none'],"21,",10.0,academic,[u'usa'],1.0,21
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2414,mandarin81,female,[u'2414'],"[u'suzhou,', u'jiangsu,', u'china']",mandarin,[u'none'],"22,",10.0,academic,[u'usa'],0.1,22
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2418,mandarin82,female,[u'2418'],"[u'wuhai,', u'china']",mandarin,[u'none'],"23,",13.0,academic,[u'usa'],0.1,23
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2419,mandarin83,female,[u'2419'],"[u'zhengzhou,', u'henan,', u'china']",mandarin,[u'none'],"26,",12.0,academic,[u'usa'],1.0,26
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2420,mandarin84,female,[u'2420'],"[u'zhengzhou,', u'henan,', u'china']",mandarin,[u'none'],"24,",10.0,academic,[u'usa'],1.0,24
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2421,mandarin85,female,[u'2421'],"[u'changsha,', u'hunan,', u'china']",mandarin,[u'none'],"23,",10.0,academic,[u'usa'],1.0,23
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2423,mandarin86,female,[u'2423'],"[u'shenyang,', u'liaoning,', u'china']",mandarin,[u'none'],"22,",7.0,academic,[u'usa'],0.1,22
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2435,mandarin87,female,[u'2435'],"[u'lanzhou,', u'gansu,', u'china']",mandarin,[u'none'],"22,",7.0,academic,[u'usa'],1.0,22
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2447,mandarin88,male,[u'2447'],"[u'anqing,', u'anhui,', u'china']",mandarin,"[u'japanese', u'']","23,",8.0,academic,[u''],0.0,23
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2448,mandarin89,male,[u'2448'],"[u'taiyuan,', u'shanxi,', u'china']",mandarin,[u'none'],"19,",12.0,academic,[u'usa'],1.0,19
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2461,mandarin90,male,[u'2461'],"[u'chengdu,', u'sichuan,', u'china']",mandarin,[u'none'],"27,",8.0,academic,[u'usa'],0.8,27
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2463,mandarin91,male,[u'2463'],"[u'tongcheng,', u'anhui,', u'china']",mandarin,[u'none'],"22,",13.0,academic,[u''],0.0,22
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2469,mandarin92,female,[u'2469'],"[u""huai'an,"", u'jiangsu,', u'china']",mandarin,[u'none'],"23,",10.0,academic,[u''],0.0,23
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2474,mandarin93,female,[u'2474'],"[u""xi'an,"", u'shanxi,', u'china']",mandarin,"[u'french', u'']","22,",6.0,academic,[u'usa'],0.3,22
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2477,mandarin94,male,[u'2477'],"[u'baotou,', u'inner', u'mongolia,', u'china']",mandarin,[u'none'],"23,",8.0,academic,[u'usa'],0.3,23
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2483,mandarin95,female,[u'2483'],"[u'yangxin,', u'hubei,', u'china']",mandarin,"[u'arabic', u'']","29,",11.0,academic,[u'usa'],2.0,29
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2494,mandarin96,female,[u'2494'],"[u'qingdao,', u'shandong,', u'china']",mandarin,[u'none'],"27,",9.0,academic,[u'usa'],5.4,27
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2523,mandarin97,female,[u'2523'],"[u'jiujiang,', u'jiangxi,', u'china']",mandarin,[u'none'],"28,",11.0,academic,"[u'hong', u'kong']",1.5,28
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2524,mandarin98,female,[u'2524'],"[u'nanchang,', u'jiangxi,', u'china']",mandarin,[u'none'],"25,",11.0,academic,[u'australia'],1.5,25
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=61,english1,male,[u'61'],"[u'pittsburgh,', u'pennsylvania,', u'usa']",english,"[u'mandarin', u'']","42,",0.0,naturalistic,[u'usa'],41.0,42
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=77,english2,female,[u'77'],"[u'birmingham,', u'uk']",english,"[u'german', u'mandarin', u'']","30,",0.0,naturalistic,[u'uk'],30.0,30
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=88,english3,female,[u'88'],"[u'brisbane,', u'australia']",english,[u'none'],"26,",0.0,naturalistic,[u'australia'],26.0,26
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=99,english4,female,[u'99'],"[u'saint', u""anne's"", u'bay,', u'jamaica']",english,"[u'spanish', u'french', u'']","53,",0.0,naturalistic,"[u'jamaica,usa']",53.0,53
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=110,english5,male,[u'110'],"[u'fairfax,', u'virginia,', u'usa']",english,[u'none'],"62,",0.0,naturalistic,[u'usa'],62.0,62
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=121,english6,female,[u'121'],"[u'brooklyn,', u'new', u'york,', u'usa']",english,"[u'french', u'spanish', u'']","45,",0.0,naturalistic,[u'usa'],45.0,45
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=132,english7,male,[u'132'],"[u'macon,', u'mississippi,', u'usa']",english,"[u'spanish', u'french', u'']","52,",0.0,naturalistic,[u'usa'],52.0,52
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=143,english8,female,[u'143'],"[u'perth,', u'australia']",english,"[u'french', u'']","21,",0.0,naturalistic,"[u'australia,usa']",4.0,21
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=154,english9,female,[u'154'],"[u'carthage,', u'texas,', u'usa']",english,"[u'spanish', u'']","48,",0.0,naturalistic,[u'usa'],48.0,48
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=62,english10,female,[u'62'],"[u'davenport,', u'iowa,', u'usa']",english,[u'none'],"35,",0.0,naturalistic,[u'usa'],35.0,35
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=68,english11,female,[u'68'],"[u'staffordshire,', u'uk']",english,"[u'french', u'']","35,",0.0,naturalistic,[u'uk'],35.0,35
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=69,english12,female,[u'69'],"[u'leicester,', u'uk']",english,"[u'french', u'']","71,",0.0,naturalistic,[u'uk'],71.0,71
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=70,english13,male,[u'70'],"[u'henley', u'on', u'thames,', u'oxfordshire,', u'uk']",english,[u'none'],"69,",0.0,naturalistic,[u'uk'],69.0,69
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=71,english14,male,[u'71'],"[u'belfast,', u'northern', u'ireland,', u'uk']",english,"[u'french', u'']","40,",0.0,naturalistic,"[u'uk,usa']",40.0,40
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=72,english15,female,[u'72'],"[u'norton,', u'virginia,', u'usa']",english,[u'none'],"7,",0.0,naturalistic,[u'usa'],7.0,7
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=73,english16,male,[u'73'],"[u'wise,', u'virginia,', u'usa']",english,"[u'spanish', u'']","21,",0.0,naturalistic,[u'usa'],21.0,21
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=74,english17,male,[u'74'],"[u'darwin', u'va,', u'virginia,', u'usa']",english,[u'none'],"79,",0.0,naturalistic,[u'usa'],79.0,79
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=75,english18,female,[u'75'],"[u'dickenson', u'county,', u'virginia,', u'usa']",english,[u'none'],"39,",0.0,naturalistic,[u'usa'],39.0,39
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=76,english19,male,[u'76'],"[u'louisville,', u'kentucky,', u'usa']",english,"[u'spanish', u'']","53,",0.0,naturalistic,[u'usa'],53.0,53
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=78,english20,female,[u'78'],"[u'mt.', u'holly,', u'north', u'carolina,', u'usa']",english,[u'none'],"27,",0.0,naturalistic,[u'usa'],27.0,27
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=79,english21,female,[u'79'],"[u'boston,', u'massachusetts,', u'usa']",english,"[u'italian', u'']","37,",0.0,naturalistic,[u'usa'],37.0,37
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=80,english22,female,[u'80'],"[u'panama', u'city,', u'panama']",english,"[u'spanish', u'']","25,",0.0,naturalistic,[u'usa'],5.0,25
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=81,english23,male,[u'81'],"[u'englewood,', u'tennessee,', u'usa']",english,[u'none'],"43,",0.0,naturalistic,[u'usa'],43.0,43
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=82,english24,male,[u'82'],"[u'glasgow,', u'scotland,', u'uk']",english,"[u'french', u'']","37,",0.0,naturalistic,"[u'uk,usa']",37.0,37
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=83,english25,male,[u'83'],"[u'atlanta,', u'georgia,', u'usa']",english,[u'none'],"57,",0.0,naturalistic,[u'usa'],57.0,57
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=84,english26,male,[u'84'],"[u'smith', u'island,', u'maryland,', u'usa']",english,[u'none'],"71,",0.0,naturalistic,[u'usa'],71.0,71
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=85,english27,female,[u'85'],"[u'smith', u'island,', u'maryland,', u'usa']",english,[u'none'],"37,",0.0,naturalistic,[u'usa'],37.0,37
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=86,english28,male,[u'86'],"[u'toronto,', u'ontario,', u'canada']",english,"[u'french', u'russian', u'']","54,",0.0,naturalistic,[u'canada'],54.0,54
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=87,english29,female,[u'87'],"[u'lindsay,', u'ontario,', u'canada']",english,[u'none'],"54,",0.0,naturalistic,[u'canada'],54.0,54
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=89,english30,female,[u'89'],"[u'st.', u""mary's,"", u'ontario,', u'canada']",english,"[u'french', u'swedish', u'']","30,",0.0,naturalistic,[u'canada'],30.0,30
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=90,english31,female,[u'90'],"[u'st.', u'augustine,', u'trinidad']",english,[u'none'],"31,",0.0,naturalistic,"[u'trinidad,usa']",31.0,31
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=91,english32,female,[u'91'],"[u'fresno,', u'california,', u'usa']",english,[u'none'],"50,",0.0,naturalistic,[u'usa'],50.0,50
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=92,english33,male,[u'92'],"[u'san', u'diego,', u'california,', u'usa']",english,[u'none'],"21,",0.0,naturalistic,[u'usa'],21.0,21
