,age,age_onset,birthplace,english_learning_method,english_residence,file_present,filename,length_of_english_residence,native_language,sex,speakerid
134,25,17,"havana, cuba",academic,usa,TRUE,spanish19,5,spanish,female,333
135,20,12,"puerto la cruz, venezuela",academic,usa,TRUE,spanish2,0.5,spanish,male,334
136,45,30,"managua, nicaragua",academic,usa,TRUE,spanish20,18,spanish,male,335
137,25,18,"santiago, chile",naturalistic,,TRUE,spanish21,0,spanish,male,336
138,32,11,"madrid, spain",academic,usa,TRUE,spanish22,0.8,spanish,female,337
139,22,7,"santiago, chile",academic,usa,TRUE,spanish23,0.1,spanish,male,338
140,27,5,"mexico city, mexico",academic,usa,TRUE,spanish24,1.8,spanish,male,339
141,26,21,"san jose, costa rica",academic,usa,TRUE,spanish25,5,spanish,male,340
142,18,6,"burgos, spain",academic,,TRUE,spanish26,0,spanish,male,341
143,34,14,"zaragoza, spain",academic,ireland,TRUE,spanish27,0.1,spanish,male,342
144,20,18,"san miguel, el salvador",academic,usa,TRUE,spanish28,2,spanish,female,343
145,17,16,"bogota, colombia",academic,usa,TRUE,spanish3,0.1,spanish,female,344
146,21,17,"cabanas, el salvador",academic,usa,TRUE,spanish4,4,spanish,female,345
147,52,13,"bogota, colombia",naturalistic,usa,TRUE,spanish5,17,spanish,female,346
148,20,19,"lima, peru",academic,usa,TRUE,spanish6,1,spanish,male,347
149,21,20,"bogota, colombia",academic,usa,TRUE,spanish7,0.4,spanish,female,348
150,21,12,"san salvador, el salvador",academic,usa,TRUE,spanish8,0.5,spanish,male,349
151,20,17,"araure, venezuela",academic,"usa,trinidad",TRUE,spanish9,0.4,spanish,male,350
152,57,0,"windsor, ontario, canada",naturalistic,canada,TRUE,english105,57,english,male,407
153,39,0,"los angeles, california, usa",naturalistic,usa,TRUE,english106,39,english,female,408
154,18,10,"maracaibo, zulia, venezuela",academic,canada,TRUE,spanish29,0.5,spanish,male,410
155,19,0,"chicago, illinois, usa",naturalistic,usa,TRUE,english107,19,english,male,416
156,21,0,"strabane, northern ireland, uk",naturalistic,uk,TRUE,english108,21.5,english,male,419
157,26,0,"concord, new hampshire, usa",naturalistic,usa,TRUE,english109,26,english,female,420
158,21,0,"great yarmouth, norfolk, uk",naturalistic,uk,TRUE,english110,0,english,male,421
159,21,0,"bombay, india",naturalistic,"india, usa",TRUE,english111,4,english,male,426
160,21,0,"st. thomas, us virgin islands",naturalistic,us virgin islands,TRUE,english112,21,english,male,427
161,47,11,"amman, jordan",naturalistic,usa,TRUE,arabic14,25,arabic,male,428
162,29,12,"jingmen, hubei, china",academic,usa,TRUE,mandarin8,5,mandarin,male,430
163,40,33,"qayrawan, tunisia",naturalistic,usa,TRUE,arabic15,7,arabic,male,437
164,31,0,"wrexham, wales, uk",naturalistic,"wales, australia",TRUE,english113,31,english,male,439
165,18,5,"buenos aires, argentina",academic,,TRUE,spanish30,0,spanish,male,441
166,38,0,"birmingham 2, alabama, usa",naturalistic,usa,TRUE,english114,38,english,female,442
167,31,0,"st. albans, hertfordshire, uk",naturalistic,uk,TRUE,english115,31,english,male,443
168,56,0,"atlanta, georgia, usa",naturalistic,usa,TRUE,english116,56,english,male,444
169,60,0,"elmore, alabama, usa",naturalistic,usa,TRUE,english117,60,english,female,445
170,19,0,"akron, ohio, usa",naturalistic,usa,TRUE,english118,17,english,male,446
171,31,7,"guayaquil, ecuador",academic,usa,TRUE,spanish31,7,spanish,female,449
172,26,22,"santa cruz, bolivia",academic,usa,TRUE,spanish32,4,spanish,male,450
173,38,12,"shanghai, china",academic,usa,TRUE,mandarin9,2,mandarin,male,451
174,32,0,"saskatoon, saskatchewan, canada",naturalistic,canada,TRUE,english119,32,english,female,455
175,65,0,"saskatoon, saskatchewan, canada",naturalistic,canada,TRUE,english120,65,english,male,456
176,21,0,"waconia, minnesota, usa",naturalistic,usa,TRUE,english121,21,english,male,465
177,18,15,"caracas, venezuela",academic,usa,TRUE,spanish33,3,spanish,male,467
178,20,0,"kuala lumpur, malaysia",naturalistic,"singapore,usa",TRUE,english122,13,english,female,468
179,28,0,"riverside, california, usa",naturalistic,"usa, uk",TRUE,english123,23,english,female,469
180,22,16,"meknes, morocco",academic,,TRUE,arabic16,0,arabic,male,471
181,28,11,"cartagena, spain",academic,uk,TRUE,spanish34,0.75,spanish,male,476
182,28,17,"mexico city, mexico",academic,usa,TRUE,spanish35,4.25,spanish,male,479
183,38,0,"brooklyn, new york, usa",naturalistic,usa,TRUE,english124,38,english,male,480
184,28,0,"st. george, queensland, australia",naturalistic,australia,TRUE,english125,28,english,male,485
185,34,0,"cincinnati, ohio, usa",naturalistic,usa,TRUE,english126,34,english,female,487
186,39,0,"new britain, connecticut, usa",naturalistic,usa,TRUE,english127,39,english,male,489
187,20,0,"miami, florida, usa",naturalistic,usa,TRUE,english128,20,english,female,490
188,19,3,"beijing, china",academic,south africa,TRUE,mandarin10,3.75,mandarin,male,491
189,25,0,"blackpool, lancashire, uk",naturalistic,"uk, australia",TRUE,english129,25,english,male,492
190,32,0,"port elizabeth, south africa",naturalistic,south africa,TRUE,english130,32,english,male,496
191,23,0,"west palm beach, florida, usa",naturalistic,usa,TRUE,english131,23,english,male,497
192,27,25,"montevideo, uruguay",academic,,TRUE,spanish36,0,spanish,male,499
193,18,0,"toronto, ontario, canada",naturalistic,canada,TRUE,english132,18,english,female,503
194,36,0,"norwich, new york, usa",naturalistic,usa,TRUE,english133,36,english,female,504
195,22,0,"belfast, northern ireland, uk",naturalistic,uk,TRUE,english134,22,english,female,506
196,22,0,"orange beach, alabama, usa",naturalistic,usa,TRUE,english135,22,english,male,507
197,25,0,"calgary, alberta, canada",naturalistic,canada,TRUE,english136,25,english,male,508
198,26,0,"charleston, west virginia, usa",naturalistic,usa,TRUE,english137,26,english,male,509
199,25,0,"palmer, alaska, usa",naturalistic,usa,TRUE,english138,25,english,female,510
200,20,0,"providence, rhode island, usa",naturalistic,usa,TRUE,english139,20,english,male,511
201,35,15,"settat, morocco",academic,,TRUE,arabic17,0,arabic,male,512
202,19,0,"york, uk",naturalistic,uk,TRUE,english141,19,english,male,516
203,19,0,"avon, new york, usa",naturalistic,usa,TRUE,english142,19,english,male,517
204,42,0,"minneapolis, minnesota, usa",naturalistic,"usa, uk",TRUE,english143,42,english,male,518
205,24,0,"barneys river, nova scotia, canada",naturalistic,canada,TRUE,english144,24,english,male,519
206,18,0,"bury st. edmunds, uk",naturalistic,uk,TRUE,english145,13,english,male,521
207,22,0,"blytheville, arkansas, usa",naturalistic,usa,TRUE,english146,22,english,male,522
208,40,0,"merced, california, usa",naturalistic,usa,TRUE,english147,40,english,female,523
209,31,0,"sydney, australia",naturalistic,australia,TRUE,english148,31,english,male,525
210,18,0,"lawrenceville, georgia, usa",naturalistic,usa,TRUE,english149,18,english,male,526
211,31,0,"brownsville, kentucky, usa",naturalistic,usa,TRUE,english150,31,english,male,527
212,18,0,"baltimore, maryland, usa",naturalistic,usa,TRUE,english151,18,english,male,528
213,18,0,"adelaide, australia",naturalistic,australia,TRUE,english152,18,english,male,529
214,35,0,"brisbane, australia",naturalistic,australia,TRUE,english153,35,english,male,533
215,28,0,"glace bay, nova scotia, canada",naturalistic,canada,TRUE,english154,28,english,male,534
216,35,0,"oakland, california, usa",naturalistic,usa,TRUE,english155,35,english,male,535
217,33,0,"dublin, ireland",naturalistic,ireland,TRUE,english156,33,english,male,536
218,35,0,"fort worth, texas, usa",naturalistic,usa,TRUE,english157,35,english,male,538
219,18,6,"kuwait city, kuwait",academic,,TRUE,arabic18,0,arabic,male,539
220,18,0,"washington, district of columbia, usa",naturalistic,usa,TRUE,english158,18,english,female,540
221,18,0,"ottawa, ontario, canada",naturalistic,canada,TRUE,english159,18,english,male,541
222,21,0,"redwood falls, minnesota, usa",naturalistic,usa,TRUE,english160,21,english,female,542
223,75,0,"wakefield, ohio, usa",naturalistic,usa,TRUE,english161,75,english,female,546
224,41,0,"fairview park, ohio, usa",naturalistic,usa,TRUE,english163,39,english,male,547
225,41,0,"delaware, ohio, usa",naturalistic,usa,TRUE,english162,39,english,female,548
226,38,0,"leeds, uk",naturalistic,uk,TRUE,english164,38,english,male,549
227,43,0,"detroit, michigan, usa",naturalistic,usa,TRUE,english165,43,english,female,550
228,18,0,"glenside, pennsylvania, usa",naturalistic,usa,TRUE,english166,18,english,male,551
229,43,0,"lakeview, michigan, usa",naturalistic,usa,TRUE,english167,43,english,male,552
230,40,0,"oceanside, california, usa",naturalistic,usa,TRUE,english168,25,english,male,554
231,18,0,"cleveland, mississippi, usa",naturalistic,usa,TRUE,english169,18,english,male,555
232,50,0,"belmont, mississippi, usa",naturalistic,usa,TRUE,english170,50,english,female,556
233,21,0,"st. louis, missouri, usa",naturalistic,usa,TRUE,english171,21,english,male,563
234,49,0,"kingston, jamaica",naturalistic,"jamaica, uk",TRUE,english172,49,english,male,564
235,19,0,"libertyville, illinois, usa",naturalistic,usa,TRUE,english173,19,english,male,567
236,30,0,"kuching, sarawak, malaysia",naturalistic,"australia, singapore",TRUE,english174,12,english,female,568
237,24,0,"seattle, washington, usa",naturalistic,usa,TRUE,english175,21,english,male,572
238,18,0,"elizabeth city, north carolina, usa",naturalistic,usa,TRUE,english176,18,english,female,573
239,23,0,"new orleans, louisiana, usa",naturalistic,usa,TRUE,english177,23,english,female,574
240,50,17,"tegucigalpa, honduras",academic,usa,TRUE,spanish37,13,spanish,female,575
241,53,13,"tegucigalpa, honduras",academic,usa,TRUE,spanish38,15,spanish,male,576
242,30,0,"wilkes-barre, pennsylvania, usa",naturalistic,usa,TRUE,english178,30,english,male,583
243,57,0,"huron, south dakota, usa",naturalistic,usa,TRUE,english179,55,english,male,584
244,20,0,"newport, rhode island, usa",naturalistic,usa,TRUE,english180,20,english,male,585
245,68,0,"new eagle, pennsylvania, usa",naturalistic,usa,TRUE,english181,68,english,male,586
246,50,0,"troy, new york, usa",naturalistic,usa,TRUE,english182,50,english,male,590
247,55,0,"corriverton, guyana",naturalistic,"guyana, usa",TRUE,english183,55,english,female,595
248,18,0,"hillsboro, oregon, usa",naturalistic,usa,TRUE,english184,18,english,female,597
249,38,0,"oxford, uk",naturalistic,canada,TRUE,english185,36,english,male,604
250,39,0,"gadsden, alabama, usa",naturalistic,usa,TRUE,english186,39,english,female,605
251,42,0,"algona, iowa, usa",naturalistic,usa,TRUE,english187,42,english,female,606
252,53,13,"kao-hsiung, taiwan",academic,usa,TRUE,mandarin11,33,mandarin,female,607
253,35,0,"edinburgh, scotland, uk",naturalistic,uk,TRUE,english188,35,english,male,611
254,,,,,,,,,,,613
255,20,3,"pamplona, spain",academic,,TRUE,spanish39,0,spanish,male,614
256,19,0,"grand forks, north dakota, usa",naturalistic,usa,TRUE,english189,19,english,male,617
257,27,0,"oak park, illinois, usa",naturalistic,usa,TRUE,english190,28,english,male,618
258,23,1,"singapore, singapore",naturalistic,"singapore, uk",TRUE,mandarin12,23,mandarin,male,623
259,43,18,"khouribga, morocco",academic,usa,TRUE,arabic19,8,arabic,male,625
260,19,0,"las cruces, new mexico, usa",naturalistic,usa,TRUE,english191,19,english,male,631
261,27,0,"east lansing, michigan, usa",naturalistic,usa,TRUE,english192,27,english,female,636
262,32,0,"honolulu, hawaii, usa",naturalistic,usa,TRUE,english193,32,english,male,637
263,19,0,"manchester, england, uk",naturalistic,uk,TRUE,english194,19,english,male,638
264,21,0,"delavan, wisconsin, usa",naturalistic,usa,TRUE,english195,21,english,female,639
265,36,12,"chtaura, beqa valley, lebanon",academic,usa,TRUE,arabic20,1,arabic,male,643
266,20,6,"cartago, costa rica",academic,,TRUE,spanish40,0,spanish,male,644
267,50,0,"suva, fiji",naturalistic,"fiji, usa",TRUE,english196,50,english,female,654
268,22,0,"iowa city, iowa, usa",naturalistic,usa,TRUE,english197,22,english,male,662
269,56,0,"washington, district of columbia, usa",naturalistic,usa,TRUE,english198,56,english,male,663
270,25,0,"bay shore, new york, usa",naturalistic,usa,TRUE,english199,25,english,male,664
271,,,,,,,,,,,666
272,22,0,"berkeley, california, usa",naturalistic,usa,TRUE,english200,22,english,female,667
273,26,0,"warren, michigan, usa",naturalistic,usa,TRUE,english201,26,english,female,668
274,46,30,"beirut, lebanon",naturalistic,usa,TRUE,arabic21,13,arabic,female,670
275,19,0,"crisfield, maryland, usa",naturalistic,usa,TRUE,english202,19,english,male,673
276,63,0,"boston, massachusetts, usa",naturalistic,usa,TRUE,english203,31,english,female,674
277,53,0,"chicago, illinois, usa",naturalistic,usa,TRUE,english204,49,english,male,678
278,45,0,"blue earth, minnesota, usa",naturalistic,usa,TRUE,english205,45,english,female,679
279,35,0,"hucknall, nottinghamshire, england, uk",naturalistic,uk,TRUE,english206,35,english,female,680
280,23,0,"wilkes-barre, pennsylvania, usa",naturalistic,usa,TRUE,english207,23,english,female,684
281,29,13,"nantou, taiwan",academic,,TRUE,mandarin13,0,mandarin,male,685
282,46,0,"washington, dc, usa",naturalistic,usa,TRUE,english208,29,english,male,695
283,28,0,"saint johns, antigua and barbuda",naturalistic,"antigua and barbuda, usa",TRUE,english209,28,english,female,702
284,23,0,"trenton, nova scotia, canada",naturalistic,canada,TRUE,english210,23,english,female,705
285,25,6,"bonao, dominican republic",naturalistic,usa,TRUE,spanish41,23,spanish,male,706
286,80,18,"bogota, colombia",academic,usa,TRUE,spanish42,20,spanish,female,712
287,43,16,"santiago-dr, dominican republic",academic,usa,TRUE,spanish43,22,spanish,male,714
288,47,12,"santiago-dr, dominican republic",academic,usa,TRUE,spanish45,2,spanish,female,715
289,37,4,"la romana, dominican republic",academic,usa,TRUE,spanish44,11.5,spanish,female,716
290,33,14,"santo domingo, dominican republic",academic,usa,TRUE,spanish46,10,spanish,male,717
291,25,12,"santo domingo, dominican republic",academic,usa,TRUE,spanish47,2.5,spanish,female,718
292,49,20,"dalian, liaoning, china",academic,usa,TRUE,mandarin14,21,mandarin,male,719
293,30,0,"worcester, massachusetts, usa",naturalistic,usa,TRUE,english211,30,english,male,720
294,24,0,"spartanburg, south carolina, usa",naturalistic,usa,TRUE,english212,24,english,male,729
295,21,6,"bilbao, spain",academic,,TRUE,spanish48,0,spanish,male,731
296,31,6,"tandil, argentina",academic,,TRUE,spanish49,0,spanish,male,732
297,38,0,"dodge city, kansas, usa",naturalistic,usa,TRUE,english213,38,english,male,734
298,26,0,"myrtle beach, south carolina, usa",naturalistic,usa,TRUE,english214,26,english,male,737
299,20,0,"lemington spa, warwickshire, uk",naturalistic,"uk, ireland, usa",TRUE,english215,20,english,male,738
300,48,0,"chicago, illinois, usa",naturalistic,usa,TRUE,english216,48,english,female,739
301,66,0,"harrow, middlesex, uk",naturalistic,"uk, usa",TRUE,english217,66,english,male,740
302,28,11,"tainan, taiwan",academic,"new zealand, usa, uk",TRUE,mandarin15,4,mandarin,female,746
303,27,0,"abingdon, virginia, usa",naturalistic,usa,TRUE,english218,27,english,female,747
304,38,0,"oakland, california, usa",naturalistic,usa,TRUE,english219,38,english,female,748
305,18,0,"anaheim, california, usa",naturalistic,usa,TRUE,english220,18,english,female,749
306,32,10,"taipei, taiwan",academic,usa,TRUE,mandarin16,1.35,mandarin,male,750
307,27,15,"santo domingo, dominican republic",academic,usa,TRUE,spanish50,0.25,spanish,male,752
308,20,6,"caguas, puerto rico",academic,usa,TRUE,spanish51,20,spanish,male,753
309,45,0,"london, uk",naturalistic,"uk, australia, usa",TRUE,english221,45,english,male,754
310,18,0,"auburn, indiana, usa",naturalistic,usa,TRUE,english222,18,english,female,764
311,18,0,"erie, pennsylvania, usa",naturalistic,usa,TRUE,english223,18,english,male,767
312,20,0,"bridgetown, barbados",naturalistic,barbados,TRUE,english224,20,english,male,768
313,50,0,"dundee, scotland, uk",naturalistic,"scotland, usa",TRUE,english225,50,english,male,771
314,38,0,"walton-on-thames, surrey, uk",naturalistic,"uk, usa",TRUE,english226,38,english,male,772
315,42,0,"camberley, surrey, uk",naturalistic,"uk, usa",TRUE,english227,42,english,female,773
316,59,0,"glasgow, scotland, uk",naturalistic,"scotland, usa, sierra leone",TRUE,english228,59,english,female,774
317,25,0,"burlington, vermont, usa",naturalistic,usa,TRUE,english229,25,english,male,775
318,35,0,"launceston, tasmania, australia",naturalistic,australia,TRUE,english230,35,english,male,776
